level_0,level_1,0,column1,column2
1930,77,"[1175897.4121414016, 77]",1175897.4121414016,77
1930,78,"[700952.4473774894, 78]",700952.4473774894,78
1930,79,"[885302.9410377692, 79]",885302.9410377692,79
1930,80,"[1001985.8686665471, 80]",1001985.8686665471,80
1930,81,"[991364.8184586817, 81]",991364.8184586817,81
1930,82,"[1128371.4363696715, 82]",1128371.4363696715,82
1930,83,"[1474668.6301915236, 83]",1474668.6301915236,83
1930,84,"[1650154.197184315, 84]",1650154.197184315,84
1930,85,"[1670946.1400688372, 85]",1670946.1400688372,85
1930,86,"[1846562.579390072, 86]",1846562.579390072,86
1930,87,"[2206272.9698552582, 87]",2206272.9698552582,87
1930,88,"[2058011.426280985, 88]",2058011.426280985,88
1930,89,"[2664095.7913207347, 89]",2664095.7913207347,89
1930,90,"[3111131.065104354, 90]",3111131.065104354,90
1931,0,"[6514.0, 0]",6514.0,0
1931,1,"[6594.1222, 1]",6594.1222,1
1931,2,"[10226.82411998, 2]",10226.82411998,2
1931,3,"[9790.138730056853, 3]",9790.138730056853,3
1931,4,"[14146.750464932153, 4]",14146.750464932153,4
1931,5,"[18458.680006643473, 5]",18458.680006643473,5
1931,6,"[11270.870012056504, 6]",11270.870012056504,6
1931,7,"[14805.414847837425, 7]",14805.414847837425,7
1931,8,"[14852.792175350503, 8]",14852.792175350503,8
1931,9,"[13161.059146578082, 9]",13161.059146578082,9
1931,10,"[10822.338936231157, 10]",10822.338936231157,10
1931,11,"[11719.51083404472, 11]",11719.51083404472,11
1931,12,"[13938.014234929386, 12]",13938.014234929386,12
1931,13,"[16349.290697572169, 13]",16349.290697572169,13
1931,14,"[21834.47772660763, 14]",21834.47772660763,14
1931,15,"[18175.019259628192, 15]",18175.019259628192,15
1931,16,"[16510.18749544625, 16]",16510.18749544625,16
1931,17,"[16118.896051804175, 17]",16118.896051804175,17
1931,18,"[19268.52834032671, 18]",19268.52834032671,18
1931,19,"[24962.378464893252, 19]",24962.378464893252,19
